DATE,DSPI
2019-01-01,16027.8
2019-02-01,16073.8
2019-03-01,16107.1
2019-04-01,16110.1
2019-05-01,16115.1
2019-06-01,16142.7
2019-07-01,16184.4
2019-08-01,16274.6
2019-09-01,16319.7
2019-10-01,16373.6
2019-11-01,16457.9
2019-12-01,16444.3
2020-01-01,16622.6
2020-02-01,16734.8
2020-03-01,16444.3
2020-04-01,18919.4
2020-05-01,18024.0
2020-06-01,17805.6
2020-07-01,17960.6
2020-08-01,17349.6
2020-09-01,17476.8
2020-10-01,17398.9
2020-11-01,17175.6
2020-12-01,17272.2
2021-01-01,19120.3
2021-02-01,17546.6
2021-03-01,21698.9
2021-04-01,18429.9
2021-05-01,17980.6
2021-06-01,18001.7
2021-07-01,18225.8
2021-08-01,18277.6
2021-09-01,18044.7
2021-10-01,18133.5
2021-11-01,18213.4
2021-12-01,18261.5
2022-01-01,18284.7
2022-02-01,18360.8
