DATE,GPDI
2007-01-01,2664.295
2007-04-01,2699.217
2007-07-01,2685.969
2007-10-01,2642.56
2008-01-01,2563.701
2008-04-01,2540.595
2008-07-01,2498.242
2008-10-01,2307.915
2009-01-01,2014.878
2009-04-01,1863.65
2009-07-01,1841.416
2009-10-01,1998.71
2010-01-01,2038.161
2010-04-01,2148.795
2010-07-01,2236.495
2010-10-01,2238.44
2011-01-01,2205.962
2011-04-01,2297.352
2011-07-01,2322.84
2011-10-01,2504.095
2012-01-01,2567.75
2012-04-01,2636.863
2012-07-01,2644.119
2012-10-01,2638.282
2013-01-01,2738.236
2013-04-01,2775.276
2013-07-01,2879.995
2013-10-01,2910.546
2014-01-01,2899.216
2014-04-01,3030.425
2014-07-01,3107.62
2014-10-01,3139.452
2015-01-01,3245.05
2015-04-01,3245.825
2015-07-01,3251.67
2015-10-01,3206.098
2016-01-01,3174.386
2016-04-01,3178.537
2016-07-01,3185.73
2016-10-01,3281.493
2017-01-01,3283.481
2017-04-01,3357.362
2017-07-01,3413.3
2017-10-01,3471.425
2018-01-01,3550.839
2018-04-01,3603.22
2018-07-01,3679.569
2018-10-01,3717.518
2019-01-01,3801.932
2019-04-01,3842.963
2019-07-01,3858.192
2019-10-01,3801.943
2020-01-01,3752.361
2020-04-01,3166.987
2020-07-01,3708.799
2020-10-01,3923.164
2021-01-01,3927.984
2021-04-01,3925.069
2021-07-01,4099.571
2021-10-01,4501.148
