DATE,W068RCQ027SBEA
2007-01-01,4747.079
2007-04-01,4792.841
2007-07-01,4859.514
2007-10-01,4934.382
2008-01-01,4991.989
2008-04-01,5366.788
2008-07-01,5236.25
2008-10-01,5452.409
2009-01-01,5533.429
2009-04-01,5680.717
2009-07-01,5641.212
2009-10-01,5693.133
2010-01-01,5804.974
2010-04-01,5872.568
2010-07-01,5825.414
2010-10-01,5834.793
2011-01-01,5848.004
2011-04-01,5906.467
2011-07-01,5852.866
2011-10-01,5879.574
2012-01-01,5835.737
2012-04-01,5825.191
2012-07-01,5834.161
2012-10-01,5872.514
2013-01-01,5836.0
2013-04-01,5846.239
2013-07-01,5864.665
2013-10-01,5868.619
2014-01-01,5904.824
2014-04-01,5974.243
2014-07-01,6045.984
2014-10-01,6081.506
2015-01-01,6112.126
2015-04-01,6059.788
2015-07-01,6225.731
2015-10-01,6245.98
2016-01-01,6318.634
2016-04-01,6320.457
2016-07-01,6412.654
2016-10-01,6462.249
2017-01-01,6509.084
2017-04-01,6542.647
2017-07-01,6644.987
2017-10-01,6696.023
2018-01-01,6790.24
2018-04-01,6905.927
2018-07-01,6974.682
2018-10-01,7049.049
2019-01-01,7165.638
2019-04-01,7243.438
2019-07-01,7319.767
2019-10-01,7418.355
2020-01-01,7470.751
2020-04-01,10910.42
2020-07-01,9706.163
2020-10-01,8471.923
2021-01-01,10790.83
2021-04-01,9245.721
2021-07-01,8994.153
2021-10-01,8594.157
