DATE,NETEXP
2007-01-01,-739.273
2007-04-01,-745.806
2007-07-01,-728.954
2007-10-01,-729.699
2008-01-01,-771.248
2008-04-01,-776.404
2008-07-01,-787.354
2008-10-01,-628.474
2009-01-01,-420.992
2009-04-01,-358.368
2009-07-01,-423.998
2009-10-01,-473.254
2010-01-01,-509.192
2010-04-01,-542.514
2010-07-01,-553.943
2010-10-01,-523.586
2011-01-01,-568.476
2011-04-01,-581.092
2011-07-01,-567.111
2011-10-01,-601.788
2012-01-01,-602.271
2012-04-01,-565.241
2012-07-01,-523.083
2012-10-01,-515.874
2013-01-01,-500.212
2013-04-01,-499.345
2013-07-01,-482.952
2013-10-01,-435.068
2014-01-01,-511.282
2014-04-01,-506.491
2014-07-01,-490.466
2014-10-01,-531.908
2015-01-01,-526.916
2015-04-01,-508.803
2015-07-01,-543.012
2015-10-01,-526.066
2016-01-01,-514.394
2016-04-01,-491.683
2016-07-01,-485.079
2016-10-01,-533.843
2017-01-01,-533.304
2017-04-01,-557.054
2017-07-01,-523.539
2017-10-01,-545.832
2018-01-01,-580.052
2018-04-01,-539.799
2018-07-01,-623.971
2018-10-01,-640.92
2019-01-01,-606.4
2019-04-01,-632.287
2019-07-01,-613.975
2019-10-01,-532.389
2020-01-01,-541.718
2020-04-01,-538.876
2020-07-01,-725.723
2020-10-01,-798.431
2021-01-01,-872.54
2021-04-01,-881.689
2021-07-01,-947.023
2021-10-01,-962.15
