DATE,PCE
2019-01-01,14104.4
2019-02-01,14117.9
2019-03-01,14244.4
2019-04-01,14329.3
2019-05-01,14372.2
2019-06-01,14425.7
2019-07-01,14487.4
2019-08-01,14536.4
2019-09-01,14564.7
2019-10-01,14607.9
2019-11-01,14667.6
2019-12-01,14686.3
2020-01-01,14769.9
2020-02-01,14785.1
2020-03-01,13762.2
2020-04-01,12021.8
2020-05-01,13058.1
2020-06-01,13889.3
2020-07-01,14129.2
2020-08-01,14270.5
2020-09-01,14481.7
2020-10-01,14546.0
2020-11-01,14467.3
2020-12-01,14389.5
2021-01-01,14857.9
2021-02-01,14699.6
2021-03-01,15458.9
2021-04-01,15618.7
2021-05-01,15624.4
2021-06-01,15802.0
2021-07-01,15814.9
2021-08-01,15991.1
2021-09-01,16088.9
2021-10-01,16309.5
2021-11-01,16390.9
2021-12-01,16242.3
2022-01-01,16678.4
2022-02-01,16713.3
