DATE,GPDIC1
2007-01-01,2683.893
2007-04-01,2713.495
2007-07-01,2686.106
2007-10-01,2653.056
2008-01-01,2583.253
2008-04-01,2536.403
2008-07-01,2485.549
2008-10-01,2246.441
2009-01-01,1986.845
2009-04-01,1872.287
2009-07-01,1868.013
2009-10-01,2040.736
2010-01-01,2087.171
2010-04-01,2196.706
2010-07-01,2294.672
2010-10-01,2287.362
2011-01-01,2244.241
2011-04-01,2336.057
2011-07-01,2343.786
2011-10-01,2524.429
2012-01-01,2577.157
2012-04-01,2636.495
2012-07-01,2648.459
2012-10-01,2624.905
2013-01-01,2722.778
2013-04-01,2753.237
2013-07-01,2859.751
2013-10-01,2870.127
2014-01-01,2838.287
2014-04-01,2958.068
2014-07-01,3018.582
2014-10-01,3021.857
2015-01-01,3127.274
2015-04-01,3136.688
2015-07-01,3130.354
2015-10-01,3092.707
2016-01-01,3079.449
2016-04-01,3063.333
2016-07-01,3069.298
2016-10-01,3147.576
2017-01-01,3137.735
2017-04-01,3192.776
2017-07-01,3240.998
2017-10-01,3278.391
2018-01-01,3346.322
2018-04-01,3352.499
2018-07-01,3430.915
2018-10-01,3449.645
2019-01-01,3503.439
2019-04-01,3525.994
2019-07-01,3535.93
2019-10-01,3477.123
2020-01-01,3430.09
2020-04-01,2901.934
2020-07-01,3370.975
2020-10-01,3561.893
2021-01-01,3541.305
2021-04-01,3506.014
2021-07-01,3609.693
2021-10-01,3880.182
